;AnoMes;Municipio_Ibge;Municipio;Estado_Ibge;Estado;Sigla_Regiao;Regiao;VL_PagadorPF;QT_PagadorPF;VL_PagadorPJ;QT_PagadorPJ;VL_RecebedorPF;QT_RecebedorPF;VL_RecebedorPJ;QT_RecebedorPJ;QT_PES_PagadorPF;QT_PES_PagadorPJ;QT_PES_RecebedorPF;QT_PES_RecebedorPJ
2899;2021-11-01;3501806;AMÉRICO DE CAMPOS;35;SÃO PAULO;SE;SUDESTE;5009347,15;15038;1193632,03;910;5273734,13;12209;1355882,24;1977;1744;110;1618;116
796;2021-11-01;3103108;ANTÔNIO PRADO DE MINAS;31;MINAS GERAIS;SE;SUDESTE;1116543,37;3648;70646,59;56;1052089,46;3214;33706,78;98;358;14;371;14
5945;2021-11-01;2704104;LAGOA DA CANOA;27;ALAGOAS;NE;NORDESTE;8511599,65;29692;1407507,99;989;8359602,0;27532;1465999,73;1253;2981;89;3273;75
2082;2021-11-01;2105658;JUNCO DO MARANHÃO;21;MARANHÃO;NE;NORDESTE;3230302,32;13880;363752,99;319;2989993,08;12958;582631,39;460;1167;20;1245;17
788;2021-11-01;3202603;ICONHA;32;ESPÍRITO SANTO;SE;SUDESTE;10340408,3;32321;10787105,13;3975;10562598,25;27727;10741593,66;7610;3654;380;3417;404
3385;2021-11-01;2307254;JIJOCA DE JERICOACOARA;23;CEARÁ;NE;NORDESTE;30019049,52;128561;17387050,01;18118;32068003,64;127464;21229107,69;50898;7227;856;7410;821
2159;2021-11-01;4200705;ALFREDO WAGNER;42;SANTA CATARINA;SU;SUL;6802081,34;16197;3516987,12;2738;6885847,97;12181;3750796,96;5875;2243;277;2048;291
5342;2021-11-01;2516755;TENÓRIO;25;PARAÍBA;NE;NORDESTE;1452088,88;5999;437243,01;383;1553263,76;5798;180584,71;230;609;27;725;20
687;2021-11-01;2411205;SANTA CRUZ;24;RIO GRANDE DO NORTE;NE;NORDESTE;34166454,86;148832;13253688,09;8058;32620997,55;139392;10816593,24;19515;11329;542;12032;540
3297;2021-11-01;1503457;IPIXUNA DO PARÁ;15;PARÁ;NO;NORTE;12256029,94;60723;5956249,23;2781;14276129,81;54020;5381399,52;4969;4845;175;5036;174
3295;2021-11-01;2511707;PILÕEZINHOS;25;PARAÍBA;NE;NORDESTE;1359578,58;6452;98862,29;200;1582585,12;6655;61099,3;185;675;22;839;16
2216;2021-11-01;2910750;FÁTIMA;29;BAHIA;NE;NORDESTE;10259465,89;31727;2072437,78;938;9434610,06;33634;2096517,47;1955;3152;117;3625;93
2222;2021-11-01;1702703;AURORA DO TOCANTINS;17;TOCANTINS;NO;NORTE;2025916,04;7854;289026,08;304;1930764,26;6373;219993,36;667;657;29;717;25
4267;2021-11-01;1508159;URUARÁ;15;PARÁ;NO;NORTE;37943375,96;108517;14518525,47;8399;37148462,35;87539;17066098,32;19000;8968;399;9044;401
2249;2021-11-01;2400604;ALMINO AFONSO;24;RIO GRANDE DO NORTE;NE;NORDESTE;4051003,13;18272;292008,39;361;3138585,74;16109;477654,02;1016;1358;36;1359;38
3278;2021-11-01;2615904;TUPARETAMA;26;PERNAMBUCO;NE;NORDESTE;4671278,38;19231;788879,51;515;4606182,75;17775;523803,78;1213;2022;72;2135;65
627;2021-11-01;4306502;DOM FELICIANO;43;RIO GRANDE DO SUL;SU;SUL;4049597,5;15260;1398734,44;1092;4011562,25;11347;1067266,96;2389;2219;134;1930;131
626;2021-11-01;3520608;INDIANA;35;SÃO PAULO;SE;SUDESTE;5259546,16;15797;1870146,79;1685;5746689,9;14590;1913146,57;2168;1655;125;1657;130
803;2021-11-01;1702901;AXIXÁ DO TOCANTINS;17;TOCANTINS;NO;NORTE;8283505,9;32752;1152850,22;1063;7917703,89;30194;1658092,59;2077;2750;81;3135;75
2268;2021-11-01;2504207;CATINGUEIRA;25;PARAÍBA;NE;NORDESTE;2168798,95;9295;417443,53;319;2376709,35;8399;417147,6;486;900;27;1072;27
2074;2021-11-01;2513943;SÃO DOMINGOS DO CARIRI;25;PARAÍBA;NE;NORDESTE;1454565,9;5238;18677,59;35;1633253,84;4604;12065,37;41;507;5;547;7
4159;2021-11-01;3524204;JABORANDI;35;SÃO PAULO;SE;SUDESTE;5763367,15;16074;906992,15;905;5340833,62;12045;725607,3;1399;1877;101;1777;106
1039;2021-11-01;3165800;SENADOR JOSÉ BENTO;31;MINAS GERAIS;SE;SUDESTE;1271156,54;2756;152791,12;137;1161329,02;2311;105151,58;208;398;17;362;18
4031;2021-11-01;3170909;VARZELÂNDIA;31;MINAS GERAIS;SE;SUDESTE;11989707,52;51620;1928574,48;1993;11594413,01;44716;1529407,41;5259;4544;160;4502;156
1832;2021-11-01;2108009;PASTOS BONS;21;MARANHÃO;NE;NORDESTE;10480612,14;47169;4206097,99;2148;10216013,02;41506;3230513,37;4194;3728;133;3965;116
